,Signer,sign type,Class Label,Frame,Vid_name,Text
0,Brady,Lexical Signs,CHEAT,26,Brady-session-ASL_2011_06_08_Brady-scene-26-23063-23088-camera1.mov,cheat
1,Brady,Lexical Signs,CHEAT,47,Brady-session-ASL_2011_06_08_Brady-scene-26-22711-22757-camera1.mov,cheat
2,Brady,Lexical Signs,WHO,45,Brady-session-ASL_2011_07_22_Brady-scene-30-114-158-camera1.mov,who
3,Brady,Compound Signs,HAMMER+AGENT,38,Brady-session-ASL_2011_06_14_Brady-scene-43-7360-7397-camera1.mov,hammer agent
4,Brady,Compound Signs,HAPPY+NEW+YEAR,80,Brady-session-ASL_2011_07_22_Brady-scene-51-1916-1995-camera1.mov,happy new year
5,Brady,Compound Signs,HAPPY+NEW+YEAR,73,Brady-session-ASL_2011_07_19_Brady-scene-69-678-750-camera1.mov,happy new year
6,Brady,Compound Signs,alt.FIRE+PLACE,45,Brady-session-ASL_2011_06_14_Brady-scene-18-7191-7235-camera1.mov,alt.fire place
7,Brady,Compound Signs,alt.HAIRCUT+AGENT,34,Brady-session-ASL_2011_06_14_Brady-scene-2-3618-3651-camera1.mov,alt.haircut agent
8,Brady,Compound Signs,DRIBBLE+SHOOT-BASKET,44,Brady-session-ASL_2011_06_08_Brady-scene-22-24600-24643-camera1.mov,dribble shoot-basket
9,Brady,Lexical Signs,WEATHER,33,Brady-session-ASL_2011_07_22_Brady-scene-26-781-813-camera1.mov,weather
10,Liz,Lexical Signs,AFRICA,65,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-8-1381-1445-camera1.mov,africa
11,Brady,Lexical Signs,VOMIT,21,Brady-session-ASL_2011_07_22_Brady-scene-21-2587-2607-camera1.mov,vomit
12,Brady,Lexical Signs,E-MAIL,17,Brady-session-ASL_2011_06_14_Brady-scene-9-2855-2871-camera1.mov,e-mail
13,Brady,Lexical Signs,KITCHEN,29,Brady-session-ASL_2011_06_14_Brady-scene-45-2526-2554-camera1.mov,kitchen
14,Brady,Lexical Signs,INTERESTING,19,Brady-session-ASL_2011_06_14_Brady-scene-41-1189-1207-camera1.mov,interesting
15,Brady,Lexical Signs,THICK,18,Brady-session-ASL_2011_07_19_Brady-scene-114-1847-1864-camera1.mov,thick
16,Brady,Lexical Signs,LEATHER,45,Brady-session-ASL_2011_06_14_Brady-scene-47-4196-4240-camera1.mov,leather
17,Brady,Compound Signs,LIVE+BOX/ROOM,27,Brady-session-ASL_2011_06_14_Brady-scene-50-3574-3600-camera1.mov,live box
18,Brady,Lexical Signs,MEXICO,29,Brady-session-ASL_2011_06_14_Brady-scene-56-4304-4332-camera1.mov,mexico
19,Brady,Lexical Signs,PARANOID,31,Brady-session-ASL_2011_07_19_Brady-scene-26-253-283-camera1.mov,paranoid
20,Brady,Lexical Signs,BEST-FRIEND,16,Brady-session-ASL_2011_06_14_Brady-scene-27-3886-3901-camera1.mov,best-friend
21,Brady,Lexical Signs,BOMB,32,Brady-session-ASL_2011_06_08_Brady-scene-22-12576-12607-camera1.mov,bomb
22,Brady,Lexical Signs,BROOM,63,Brady-session-ASL_2011_06_08_Brady-scene-23-11014-11076-camera1.mov,broom
23,Brady,Lexical Signs,KETCHUP,29,Brady-session-ASL_2011_06_14_Brady-scene-44-4195-4223-camera1.mov,ketchup
24,Brady,Lexical Signs,MOSQUITO,48,Brady-session-ASL_2011_07_19_Brady-scene-6-803-850-camera1.mov,mosquito
25,Liz,Compound Signs,OLD+#FF,65,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-21-1349-1413-camera1.mov,old ff
26,Brady,Compound Signs,OLD+#FF,39,Brady-session-ASL_2011_07_19_Brady-scene-19-567-605-camera1.mov,old ff
27,Brady,Lexical Signs,PURSE,41,Brady-session-ASL_2011_07_19_Brady-scene-47-4477-4517-camera1.mov,purse
28,Brady,Lexical Signs,BOWTIE,17,Brady-session-ASL_2011_06_08_Brady-scene-22-26548-26564-camera1.mov,bowtie
29,Brady,Lexical Signs,BOWTIE,17,Brady-session-ASL_2011_07_19_Brady-scene-59-2995-3011-camera1.mov,bowtie
30,Brady,Lexical Signs,BOWTIE,14,Brady-session-ASL_2011_07_19_Brady-scene-59-3571-3584-camera1.mov,bowtie
31,Brady,Lexical Signs,BOWTIE,28,Brady-session-ASL_2011_07_22_Brady-scene-13-2966-2993-camera1.mov,bowtie
32,Brady,Lexical Signs,BOWTIE,25,Brady-session-ASL_2011_07_22_Brady-scene-56-1210-1234-camera1.mov,bowtie
33,Brady,Lexical Signs,FOOL/DOLL,24,Brady-session-ASL_2011_06_14_Brady-scene-21-2177-2200-camera1.mov,fool
34,Brady,Lexical Signs,FOOL/DOLL,28,Brady-session-ASL_2011_06_08_Brady-scene-37-1034-1061-camera1.mov,fool
35,Brady,Compound Signs,FOOL/DOLL+DAY,50,Brady-session-ASL_2011_06_08_Brady-scene-12-10852-10901-camera1.mov,fool day
36,Liz,Lexical Signs,BATHING-SUIT,65,Liz-session-ASL_2010_08_10_Liz_additional_lexicon_signs-scene-9-146-210-camera1.mov,bathing-suit
37,Brady,Lexical Signs,BULL,29,Brady-session-ASL_2011_06_08_Brady-scene-24-5147-5175-camera1.mov,bull
38,Brady,Loan Signs,#AC,22,Brady-session-ASL_2011_07_22_Brady-scene-37-332-353-camera1.mov,ac
39,Brady,Loan Signs,#ALL,20,Brady-session-ASL_2011_06_08_Brady-scene-10-7838-7857-camera1.mov,all
40,Brady,Loan Signs,#ASL,25,Brady-session-ASL_2011_06_08_Brady-scene-11-6136-6160-camera1.mov,asl
